,date,text,sentiment
1,2019-06-18 16:19:12,"RT @_iamDaryl: #GameOfThronesFinale
#TheFinalEpisode

This is what they should've done on choosing who's to rule on the throne https://t.co…",-0.4
2,2019-06-18 15:58:43,"RT @midiaresearch: No matter what happens with the new @WarnerMedia service, @HBO as-is will lose all of the value it brings to the market.…",0.3
4,2019-06-18 15:42:52,"@HBO please create a final episode that lives up to the expectations of 8 seasons 73 episodes; an entirely different S8 E6, one far more fitting to the main character, one that we all waited for, it was sensationally deflating @GameOfThrones #gameofthrones #gameofthronesfinale",0.21666666666666667
7,2019-06-18 15:14:35,"RT @thewhiteshewolf: All hail King Jon Snow, First of His Name, Lord of the North Beyond the Wall, Protector of the Free Folk, The White Wo…",0.25
9,2019-06-18 14:19:39,RT @c0n0r_16: Me preparing myself for the #GameOfThronesFinale https://t.co/98ypjgdDKq,0.5
10,2019-06-18 14:05:54,RT @downhill39: Ready! #GameOfThronesFinale https://t.co/yIj13Un2UQ,-0.4
12,2019-06-18 13:56:25,RT @quadmcomics: NOW AVAILABLE for your listening enjoyment - THE QUAD M SHOW Ep. 156! Download or stream from your favorite podcast catchi…,0.1875
17,2019-06-18 12:50:19,RT @nightbloodblake: sansa stark. sansa stark finally did it. FUCK SHE DESERVES THIS. I’m beyond proud of sansa 👑 #GameOfThones #GameofThro…,-0.2
18,2019-06-18 12:41:00,"This was before we watched it though 😣

Show tickets: https://t.co/mYkLVYmBXX

#gameofjokes #lol #GameOfThronesFinale #gameofjokes #lol #standupcomedy #funnymemes https://t.co/Pg93fbF5so",0.09999999999999999
19,2019-06-18 12:19:32,RT @sCaezar: Drawing of the Tyrion Lannister #GameOfThrones #GOTFinale #GameOfThronesFinale #GOT https://t.co/sZaykI7QNi,-0.4
24,2019-06-18 08:12:00,"RT @StaniomaN: Check out The Treasure Room by me in #3D, #VR or #AR https://t.co/5BYEhAeQMs  via @sketchfab
#GameOfThronesFinale #cgart #in…",0.04999999999999999
