,date,text,sentiment
0,2019-06-20 10:43:00,everybody let us say thank you to the best cast ever,1.0
1,2019-06-20 10:38:52,rip two of the most interesting characters game of thrones (and television in general) has ever seen ( cersei and jaime…,0.1625
2,2019-06-20 10:28:58,throwback to one of the best frames that ever graced tv,1.0
4,2019-06-20 10:26:08,_melaye good day twitter sir please help retweet coloured pen drawing of _dinklage until he sees it davido,0.7
5,2019-06-20 10:26:02,_ifrit :party_popper::party_popper:the weapon of arya stark is raffled :ribbon::ribbon: to participate rt good luck to all (the draw will be held on july 10) …,0.24999999999999997
7,2019-06-20 09:28:04,game of thrones,-0.4
8,2019-06-20 09:11:59,it is a trick a shadow on the wall and a very small man can cast a very large shadow :smiling_face_with_smiling_eyes:,-0.023214285714285715
9,2019-06-20 07:57:16,and yes i cried when rhaegal and viserion died i'm not heartless and not to mention all of the horses why is it always the horses poor babies '( well other than that ^ and the ending it was a great show farwell got,0.09166666666666667
10,2019-06-20 07:53:50,why has it just dawned on me that missandei's last word said was ‘dracarys' that is why daenarys burnt kings landing down and went on a mad one :exploding_head:,-0.2601851851851852
12,2019-06-20 07:15:51,share your location see others location find & follow people near you follow us,0.1
13,2019-06-20 07:12:15,i've heard many people saying that was disappointing i actually thought it was perfect i may have even shed a tear or two,0.225
16,2019-06-20 06:04:04,spoiler warning for last episode lowkey who else laughed their asses off when tyrion del…,0.35
17,2019-06-20 06:03:03,people had incredibly divided reactions to the game of thrones finale via,0.25
22,2019-06-20 05:25:29,killing daenerys is not the end of everything you had a very good opportunity to teach about love to make a world…,0.705
23,2019-06-20 05:18:06,everybody let us say thank you to the best cast ever,1.0
24,2019-06-20 05:14:00,__doe right fans were (and still are) full on raging on tumblr like rag…,0.31785714285714284
25,2019-06-20 05:05:31,kindly help retweet until he sees it coloured ballpen drawing of _dinklage rema messi dybala argentina avengers end game,0.09999999999999998
26,2019-06-20 04:51:01,_me_elliee turns out jon snow really did know nothing after all either that or david benioff and d b weiss were so consumed wi…,0.2
28,2019-06-20 04:11:17,say what you will about the the john hughes homage was a bold choice to end on,0.3333333333333333
29,2019-06-20 04:05:03,dissapointing pero award winning pa rin naman :raising_hands::clapping_hands::clapping_hands: thank you,0.5
33,2019-06-20 02:46:13,everybody let us say thank you to the best cast ever,1.0
34,2019-06-20 02:33:08,say what you will about the the john hughes homage was a bold choice to end on …,0.3333333333333333
37,2019-06-20 00:44:46,i'm ready,0.2
38,2019-06-20 00:00:23,:party_popper::party_popper:the weapon of arya stark is raffled :ribbon::ribbon: to participate rt good luck to all (the draw will be held on july 10),0.24999999999999997
40,2019-06-19 23:12:37,long may she reign …,-0.05
41,2019-06-19 22:32:19,also i do not understand the hate on the i thought it was perfect :OK_hand:,0.09999999999999998
43,2019-06-19 21:43:58,everybody let us say thank you to the best cast ever,1.0
44,2019-06-19 21:33:06,_j jamie lannister's kingslayer level is so high he tried to kill the king 8 seasons ago:face_with_tears_of_joy::face_with_tears_of_joy: …,0.16
45,2019-06-19 21:12:52,long may she reign,-0.05
