,date,text
0,2019-06-20 10:43:00,"RT @acursedlove: EVERYBODY LET’S SAY THANK YOU TO THE BEST CAST EVER. 

#GamefThrones #GameOfThronesFinale 
#TheFinalEpisode https://t.co/w…"
1,2019-06-20 10:38:52,RT @lMMUNlTYIDOL: rip two of the most interesting characters game of thrones (and television in general) has ever seen :( cersei and jaime…
2,2019-06-20 10:28:58,Throwback to one of the best frames that ever graced TV. #gameofthronesfinale #tvseries #tbt https://t.co/eLPrESZVAJ
3,2019-06-20 10:27:51,"Hale and hearty, #KitHarington has reportedly returned home from the rehab

@kitharingtoncom #GameofThrones #GameOfThronesFinale #GameOfThrones8 @KitHaringtonES @KitHarington @KitHaringtonSPA @GameOfThrones @HBO https://t.co/Mr5vXpeNcn"
4,2019-06-20 10:26:08,"@dino_melaye Good day twitter sir please help retweet coloured pen drawing of @Peter_Dinklage 
Until he sees it

#GoT 
#peterdinklage
#gameofthronesfinale
Davido https://t.co/9Ov1iLLfsf"
5,2019-06-20 10:26:02,"RT @lady_ifrit: 🎉🎉🎉🎉The weapon of Arya Stark is raffled,🎀🎀 to participate RT. 
good luck to all (The draw will be held on July 10)  #GameOf…"
6,2019-06-20 10:16:45,RT @Francisca_Adri: Plop ! #GameOfThronesFinale
7,2019-06-20 09:28:04,RT @jgamir: Game of Thrones #GameOfThronesFinale https://t.co/EpA7TDrTKe
8,2019-06-20 09:11:59,"#ThursdayThoughts #GameOfThronesFinale 
It's a trick, a shadow on the wall. And a very small man can cast a very large shadow 😊"
9,2019-06-20 07:57:16,"and Yes I cried when Rhaegal and Viserion died, I'm not heartless! and not to mention all of the horses!!!! WHY IS IT ALWAYS THE HORSES!!!!!!!!!!!! Poor babies :'(  Well other than that ^ and the ending. It was a great show! #GameOfThronesFinale Farwell GoT!"
10,2019-06-20 07:53:50,Why has it just dawned on me that Missandei’s last word said was ‘Dracarys’. That’s why Daenarys burnt Kings Landing down and went on a mad one 🤯 #GoT #GameOfThrones #GameOfThronesFinale
11,2019-06-20 07:53:05,RT @KOlusola: Guess we should celebrate the final episode of @GameOfThrones together..... #Dracarys #youknownothingjonsnow #WinterIsComing…
12,2019-06-20 07:15:51,"Share Your Location, See Others Location, Find &amp; Follow People Near You! FOLLOW Us.

#GameofThrones #GameOfThronesFinale #GoTFinale #HappyBirthdayRahulGandhi #HowIFightDepression #HrithikRoshan #ICCWorldCup2019 #INDvsPAK #INDvPAK #IndiaVsPakistan #InternationalYogaDay #Jyotika"
13,2019-06-20 07:12:15,I've heard many people saying that #GameOfThronesFinale was disappointing. I actually thought it was perfect. I may have even shed a tear or two!
14,2019-06-20 06:49:58,"Bereket is coming..
#GameOfThronesFinale"
15,2019-06-20 06:16:28,"Wait, What? #GOT Makers Deleted #CerseiLannister's Miscarriage Scene from the Final Season, Actress #LenaHeadey Reveals Details #GameOfThrones #GameOfThronesFinale  #GOT8 
https://t.co/9RJwHIoqVI"
16,2019-06-20 06:04:04,"RT @Mnemosy: #GameOfThrones #GameOfThronesFinale SPOILER WARNING FOR LAST EPISODE: Lowkey, who else laughed their asses off when Tyrion del…"
17,2019-06-20 06:03:03,"People Had Incredibly Divided Reactions To The Game Of Thrones Finale https://t.co/3rpsuLXosX via @buzzfeeders
#GameOfThronesFinale"
18,2019-06-20 05:50:11,"All of them died for nothing.
#GameOfThronesFinale https://t.co/UfjYiSb4yT"
19,2019-06-20 05:39:28,"RT @SOLProdAZ: As everyone's been saying:
Arya went West
Jon went North
Drogon went East
And the series went South
.
#GOT #GameOfthrones #G…"
20,2019-06-20 05:32:24,RT @KOlusola: Guess we should celebrate the final episode of @GameOfThrones together..... #Dracarys #youknownothingjonsnow #WinterIsComing…
21,2019-06-20 05:28:02,"RT @laurenceraqq: Power of stories | Tyrion Lannister | TEDxKing's landing
😂👏 #DemThrones #GameofThronesFinale #TyrionLannister https://t.c…"
